#SESCA CD calculation module:
#Workdir: /home/ymh/mybin/CD/examples/0.singlePDB
#Target file: DISICL_pdet_2fvy.out
#Basis set file: /home/ymh/software/SESCA/libs/Map_BB_DS-dTSC3.dat

#Weighting factors for the calculated CD spectrum:
#         Alpha  :   0.434 
#          Beta  :   0.133 
#          Coil  :   0.436 

#   wvlgth       Icalc
   269.000       0.070   
   268.000       0.109   
   267.000       0.028   
   266.000      -0.015   
   265.000      -0.024   
   264.000      -0.003   
   263.000       0.008   
   262.000      -0.024   
   261.000      -0.056   
   260.000      -0.034   
   259.000       0.012   
   258.000       0.034   
   257.000       0.015   
   256.000      -0.008   
   255.000      -0.041   
   254.000      -0.036   
   253.000      -0.031   
   252.000      -0.071   
   251.000      -0.104   
   250.000      -0.118   
   249.000      -0.146   
   248.000      -0.183   
   247.000      -0.242   
   246.000      -0.343   
   245.000      -0.484   
   244.000      -0.624   
   243.000      -0.806   
   242.000      -1.077   
   241.000      -1.382   
   240.000      -1.762   
   239.000      -2.279   
   238.000      -2.845   
   237.000      -3.504   
   236.000      -4.248   
   235.000      -5.063   
   234.000      -5.983   
   233.000      -7.022   
   232.000      -8.170   
   231.000      -9.371   
   230.000      -10.600   
   229.000      -11.786   
   228.000      -12.904   
   227.000      -13.921   
   226.000      -14.851   
   225.000      -15.629   
   224.000      -16.243   
   223.000      -16.707   
   222.000      -17.021   
   221.000      -17.193   
   220.000      -17.259   
   219.000      -17.232   
   218.000      -17.103   
   217.000      -16.972   
   216.000      -16.815   
   215.000      -16.658   
   214.000      -16.538   
   213.000      -16.491   
   212.000      -16.490   
   211.000      -16.602   
   210.000      -16.698   
   209.000      -16.630   
   208.000      -16.161   
   207.000      -15.119   
   206.000      -13.394   
   205.000      -11.069   
   204.000      -8.186   
   203.000      -4.830   
   202.000      -1.051   
   201.000       3.185   
   200.000       7.840   
   199.000      12.795   
   198.000      17.745   
   197.000      22.223   
   196.000      25.879   
   195.000      28.532   
   194.000      30.192   
   193.000      30.924   
   192.000      30.817   
   191.000      29.930   
   190.000      28.336   
   189.000      26.078   
   188.000      23.467   
   187.000      20.666   
   186.000      17.821   
   185.000      15.159   
   184.000      12.615   
   183.000      10.173   
   182.000       8.005   
   181.000       6.113   
   180.000       4.458   
   179.000       3.048   
   178.000       1.772   
