#SESCA CD calculation module:
#Workdir: /home/ymh/mybin/CD/examples/0.singlePDB
#Target file: Seq_2fvy.out
#Basis set file: /home/ymh/software/SESCA/libs/Map_SC_DS-dTSC3.dat

#Weighting factors for the calculated CD spectrum:
#          GRP1  :   0.072 
#          GRP2  :   0.282 
#          GRP3  :   0.069 
#          GRP4  :   0.577 

#   wvlgth       Icalc
   269.000      -0.004   
   268.000       0.005   
   267.000      -0.009   
   266.000      -0.007   
   265.000       0.006   
   264.000       0.006   
   263.000       0.006   
   262.000      -0.001   
   261.000      -0.010   
   260.000      -0.001   
   259.000       0.012   
   258.000       0.013   
   257.000       0.008   
   256.000       0.000   
   255.000      -0.009   
   254.000       0.001   
   253.000       0.011   
   252.000       0.016   
   251.000       0.011   
   250.000       0.012   
   249.000       0.019   
   248.000       0.037   
   247.000       0.055   
   246.000       0.058   
   245.000       0.048   
   244.000       0.059   
   243.000       0.063   
   242.000       0.062   
   241.000       0.065   
   240.000       0.052   
   239.000       0.037   
   238.000       0.042   
   237.000       0.031   
   236.000       0.020   
   235.000       0.029   
   234.000       0.030   
   233.000       0.025   
   232.000       0.017   
   231.000      -0.004   
   230.000      -0.022   
   229.000      -0.023   
   228.000      -0.017   
   227.000      -0.004   
   226.000       0.018   
   225.000       0.049   
   224.000       0.098   
   223.000       0.144   
   222.000       0.194   
   221.000       0.236   
   220.000       0.279   
   219.000       0.316   
   218.000       0.357   
   217.000       0.384   
   216.000       0.415   
   215.000       0.431   
   214.000       0.414   
   213.000       0.384   
   212.000       0.343   
   211.000       0.277   
   210.000       0.184   
   209.000       0.046   
   208.000      -0.134   
   207.000      -0.354   
   206.000      -0.594   
   205.000      -0.871   
   204.000      -1.166   
   203.000      -1.457   
   202.000      -1.775   
   201.000      -2.090   
   200.000      -2.362   
   199.000      -2.589   
   198.000      -2.722   
   197.000      -2.721   
   196.000      -2.631   
   195.000      -2.413   
   194.000      -2.061   
   193.000      -1.641   
   192.000      -1.159   
   191.000      -0.648   
   190.000      -0.132   
   189.000       0.344   
   188.000       0.814   
   187.000       1.207   
   186.000       1.534   
   185.000       1.775   
   184.000       1.959   
   183.000       2.045   
   182.000       2.092   
   181.000       2.079   
   180.000       2.029   
   179.000       1.958   
   178.000       1.906   
